Title,Price,Rating
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,4
The Wedding Dress,24.12,1
The Vacationers,42.15,4
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5
The Stranger,17.44,4
The Shadow Hero (The Shadow Hero),33.14,1
The Secret (The Secret #1),27.37,4
The Regional Office Is Under Attack!,51.36,5
The Psychopath Test: A Journey Through the Madness Industry,36.0,2
The Project,10.65,1
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4
The Mistake (Off-Campus #2),43.29,3
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1
The Kite Runner,41.82,4
The House by the Lake,36.95,1
The Glittering Court (The Glittering Court #1),44.28,1
The Girl on the Train,55.02,2
The Genius of Birds,17.24,1
The Emerald Mystery,23.15,2
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5
The Art of War,33.34,5
The Argonauts,10.93,2
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3
Suddenly in Love (Lake Haven #1),55.99,2
Something More Than This,16.24,4
Soft Apocalypse,26.12,2
So You've Been Publicly Shamed,12.23,2
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2
"Shobu Samurai, Project Aryoku (#3)",29.06,3
Secrets and Lace (Fatal Hearts #1),20.27,1
Scarlett Epstein Hates It Here,43.55,5
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1
Redeeming Love,20.47,5
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1
Poems That Make Grown Women Cry,14.19,4
"Nightingale, Sing",38.28,1
Night Sky with Exit Wounds,41.05,1
Mrs. Houdini,30.25,5
Modern Romance,28.26,5
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,1
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2
Little Red,13.47,3
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,5
Large Print Heart of the Pride,19.15,2
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,1
Grumbles,22.16,2
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4
Frostbite (Vampire Academy #2),29.99,5
Follow You Home,21.36,1
First Steps for New Christians (Print Edition),29.0,1
Finders Keepers (Bill Hodges Trilogy #2),53.53,5
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4
Eureka Trivia 6.0,54.59,4
Drive: The Surprising Truth About What Motivates Us,34.95,4
Done Rubbed Out (Reightman & Bailey #1),37.72,5
Doing It Over (Most Likely To #1),35.61,3
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3
Dark Notes,19.19,5
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3
Close to You,49.46,4
Chasing Heaven: What Dying Taught Me About Living,37.8,2
Big Magic: Creative Living Beyond Fear,30.8,3
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2
Beauty Restored (Riley Family Legacy Novellas #3),11.11,2
Batman: The Long Halloween (Batman),36.5,2
Batman: The Dark Knight Returns (Batman),15.38,5
Ayumi's Violin,15.48,2
Anonymous,46.82,4
Amy Meets the Saints and Sages,18.46,3
Amid the Chaos,36.58,1
Amatus,50.54,5
Agnostic: A Spirited Manifesto,12.51,5
Zealot: The Life and Times of Jesus of Nazareth,24.7,3
You (You #1),43.61,5
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4
Wild Swans,14.36,2
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,4
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1
Walt Disney's Alice in Wonderland,12.96,5
V for Vendetta (V for Vendetta Complete),37.1,4
Until Friday Night (The Field Party #1),46.31,2
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,2
Twenty Yawns,22.08,2
Through the Woods,25.38,2
This Is Where It Ends,27.12,2
The Year of Magical Thinking,43.04,2
The Wright Brothers,56.8,4
The White Queen (The Cousins' War #1),25.91,5
The Wedding Pact (The O'Malleys #2),32.61,3
The Time Keeper,27.88,5
The Testament of Mary,52.67,4
The Star-Touched Queen,46.02,5
The Songs of the Gods,44.48,5
The Song of Achilles,37.4,5
The Rosie Project (Don Tillman #1),54.04,1
The Power of Habit: Why We Do What We Do in Life and Business,16.88,3
The Marriage of Opposites,28.08,4
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1
The Long Haul (Diary of a Wimpy Kid #9),44.07,1
The Loney,23.4,1
The Literature Book (Big Ideas Simply Explained),17.43,3
The Last Mile (Amos Decker #2),54.21,2
The Immortal Life of Henrietta Lacks,40.67,2
The Hidden Oracle (The Trials of Apollo #1),52.26,2
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3
The Guilty (Will Robie #4),13.82,2
The First Hostage (J.B. Collins #2),25.85,3
The Dovekeepers,48.78,1
The Darkest Lie,35.35,5
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,1
The 14th Colony (Cotton Malone #11),39.24,1
That Darkness (Gardiner and Renner #1),13.92,1
Tastes Like Fear (DI Marnie Rome #3),10.69,1
Take Me with You,45.21,3
Swell: A Year of Waves,45.58,1
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5
Still Life with Bread Crumbs,26.41,3
Steve Jobs,39.5,5
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4
Someone Like You (The Harrisons #2),52.79,5
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4
Shtum,55.84,4
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3
salt.,46.78,4
Robin War,47.82,3
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2
Rain Fish,23.57,3
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5
Pet Sematary,10.56,3
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3
Once Was a Time,18.28,2
Old School (Diary of a Wimpy Kid #10),11.83,5
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2
My Name Is Lucy Barton,41.56,1
My Mrs. Brown,24.48,3
My Kind of Crazy,40.36,1
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1
More Than Music (Chasing the Dream #1),37.61,2
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5
Luis Paints the World,53.95,3
Luckiest Girl Alive,49.83,3
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2
Love Is a Mix Tape (Music #1),18.03,1
Looking for Lovely: Collecting the Moments that Matter,29.14,5
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4
Let It Out: A Journey Through Journaling,26.79,5
Lady Midnight (The Dark Artifices #1),16.28,5
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1
Island of Dragons (Unwanteds #7),29.65,1
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4
I Am Pilgrim (Pilgrim #1),10.6,4
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5
"Hush, Hush (Hush, Hush #1)",47.02,3
Hold Your Breath (Search and Rescue #1),28.82,1
Hamilton: The Revolution,58.79,3
Greek Mythic History,10.23,5
God: The Most Unpleasant Character in All Fiction,30.03,5
Glory over Everything: Beyond The Kitchen House,45.84,3
Feathers: Displays of Brilliant Plumage,49.05,3
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4
Every Last Word,46.47,3
Eligible (The Austen Project #4),27.09,3
El Deafo,57.62,5
Eight Hundred Grapes,14.39,4
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5
"Eat Fat, Get Thin",54.07,2
Don't Get Caught,55.35,1
Doctor Sleep (The Shining #2),40.12,2
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5
Dear Mr. Knightley,11.21,5
Daily Fantasy Sports,36.58,1
Crazy Love: Overwhelmed by a Relentless God,47.72,2
Cometh the Hour (The Clifton Chronicles #6),25.01,3
Code Name Verity (Code Name Verity #1),22.13,4
Clockwork Angel (The Infernal Devices #1),44.14,1
City of Glass (The Mortal Instruments #3),56.02,4
City of Fallen Angels (The Mortal Instruments #4),11.23,4
City of Bones (The Mortal Instruments #1),43.28,1
City of Ashes (The Mortal Instruments #2),47.27,1
Cell,20.29,4
Catching Jordan (Hundred Oaks),50.83,3
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,3
Carrie,46.23,2
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,4
Brain on Fire: My Month of Madness,49.32,5
Batman: Europa,32.01,2
Barefoot Contessa Back to Basics,28.01,1
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,5
Balloon Animals,17.03,3
Art Ops Vol. 1,48.8,3
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,4
Angels Walking (Angels Walking #1),34.2,2
Angels & Demons (Robert Langdon #1),51.48,3
All the Light We Cannot See,29.87,5
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2
Abstract City,56.37,5
A Time of Torment (Charlie Parker #14),48.35,5
A Study in Scarlet (Sherlock Holmes #1),16.73,2
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,2
A People's History of the United States,40.79,2
A Man Called Ove,39.72,1
A Distant Mirror: The Calamitous 14th Century,14.58,3
A Brush of Wings (Angels Walking #3),55.51,1
1491: New Revelations of the Americas Before Columbus,21.8,3
"The Three Searches, Meaning, and the Story",13.33,3
Searching for Meaning in Gailana,38.73,1
Rook,37.86,4
My Kitchen Year: 136 Recipes That Saved My Life,11.53,2
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,1
Will You Won't You Want Me?,13.86,3
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,1
The Star-Touched Queen,32.3,5
The Silent Sister (Riley MacPherson #1),46.29,5
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,1
The Lonely City: Adventures in the Art of Being Alone,33.26,2
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,4
The Golden Condom: And Other Essays on Love Lost and Found,39.43,1
The Epidemic (The Program 0.6),14.44,5
The Dinner Party,56.54,2
The Diary of a Young Girl,59.9,3
The Children,11.88,3
Stars Above (The Lunar Chronicles #4.5),48.05,2
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,3
Raspberry Pi Electronics Projects for the Evil Genius,49.67,4
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,1
Psycho: Sanitarium (Psycho #1.5),36.97,5
Poisonous (Max Revere Novels #3),26.8,3
One with You (Crossfire #5),15.71,4
No Love Allowed (Dodge Cove #1),54.65,4
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4
Most Wanted,35.28,3
"Love, Lies and Spies",20.55,2
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,5
